text,class,label
মমতা বলেন এখনো দিল্লিতে মিলছে মানুষের মৃতদেহ গতকালও চারটি মৃতদেহ মিলেছে প্রতিদিন নালা খুলছে আর বের হচ্ছে মৃতদেহ দিল্লি থেকে আজ বহু মানুষ প্রাণের ভয়ে পালিয়ে গেছে এবার দিল্লির মানুষের পাশে দাঁড়াতে হবে,sadness,1
এদিকে বেসরকারি বিশ্ববিদ্যালয়গুলোর ক্লাসপরীক্ষা বন্ধ করা হলেও কোনো কোনো বিশ্ববিদ্যালয়ে শিক্ষকদের আসতে বলা হয়েছে,anger,4
ঋণ নেওয়ার পর তা পরিশোধ না করে আত্মসাতের দায়ে ইলিয়াস ব্রাদার্সের প্রা লিমিটেডের ব্যবস্থাপনা পরিচালক শামসুল আলমের জামিনে জারি করা রুল খারিজ করেছেন হাইকোর্ট শামসুল আলম বিএনপির কেন্দ্রীয় কার্যকরী কমিটির সদস্যও,disgust,3
অসম্ভব রকম মজা পেয়েছি এই ভিডিও টা তে অনেক অনেক এই রকম ভিডিও দেখতে চাই এই রকম ভিডিও দেখে তোমার fan হয়ে নরকে গেলেও  জীবনে কোনো আফসোস থাকবে না,joy,0
আলহামদুলিল্লাহ মহৎ এই কাজে আমার গ্রামবাসীদের সাথে আল্লাহ আমাকেও অংশগ্রহণ করার তৌফিক দিয়েছেন আমি আশা রাখি আল্লাহ অধিক নেকী দিবেন ,joy,0
ট্রলের ছলে ছলে অনেক তো গুজব ছড়ালেন এখন না হয়নিজের ও আশেপাশের মানুষের দুর্ভোগ কমাতে এই পোস্টটি ছড়িয়ে দিনপ্লিজ,anger,4
সে আমাকে নিয়ে খেলছে আমি ভয় পেয়েছি বুঝতে পারলেই আমাকে দখল করবে,fear,5
কি আজব তাই না কিছু কথা আপনার মনে থাকে আর কিছু মনে থাকেনা ,surprise,2
রাগের কথা পাড়া জানে তুমি কী কিছুই শুননি  রাগের মাথায় করি যে ভুল তা ও বুঝি জানোনি ,anger,4
আমি কষ্ট পাই তবে কারো উপর রাগ করি নাহশুধু বিশেষ থেকে সাধারণ করে দেইকি দরকার ছোট জীবনে এত প্যারা নেওয়ার,sadness,1
তপেশ এর সাথে একদিন এক আড্ডায় দেখা প্রথমে ওর রান্না খেয়ে পরে ওর গান শুনে মুগ্ধ ঢেকি স্বর্গে গেলেও ধান ভানে ওরে ধরলাম আমাদের জন্য গান এবং মিউজিক বানিয়ে দিবা নাকি এমনিতেই চিত্রগল্পের কাজে নতুনত্ব আনার জন্য সাউন্ড বা মিউজিক নিয়ে প্লান ছিলো বিভিন্ন শিল্পীর গান বা মিউজিক ব্যাবহার এর চর্চা থেকে বের হয়ে মনমতো মিউজিক বা গান এর ব্যাবহার এর শুরুর ইচ্ছে ছিলো অনেকের কাছে বিয়ের জন্য গান বা মিউজিক নিয়ে কাজ করার আগ্রহ কম তপেশ যদিও এক পায়ে খাড়া তাই ভাবলাম মানুষের কাজে নতুন কিছু এর ঝুকি কম নিয়ে নিজের বিয়ের কাজেই ঝুকি নেই যাক আর কথা না বাড়াই সবাই ভিডিও দেখার সাথে সাথে শুনেও দেখুন আমাদের এই নতুন প্রয়াস,joy,0
হঠাৎ দেখলাম বেন্চিতে পাশাপাশি একটা ছেলে আর একটা মেয়ে বসে আছে আজবতো এ বাড়িতে আরো লোক আছে ওরা তো বলেনি আমায়,surprise,2
মেয়েরা গিফট পেতে যতটা না ভালবাসে তার থেকে বেশি ভালবাসে সেটার শো অফ করতেআসল কথা তারা শো অফ করার জন্যই গিফট চায়,disgust,3
নতুন ভিডিওর অপেক্ষায় ছিলামঅপেক্ষার প্রহর শেষ হলো আহ শান্তি😇😍 ভাই আপনার কাহিনিটা মুভিতে দিলেও ভালো হত বাসু ভাই😁😁,joy,0
কি আর করার নেটওয়ার্ক নাই কোন ভালো অফার নাই তাই কিছু করারও নাই,sadness,1
আপ্নাদের বন্ধু বামান যখন এইসব করে তখন কি চোখ পটুর ভিতর ডুকিয়ে রাখেন নিজেরাই ভালো না আবার এসেছে আর এক নষ্টকে নিয়ে কথা বলতে যত্তসবআপনাদের মতন ঘাসে মুখ দিয়ে চলা চ্যালেব্রেটি আছে বলে দেশের আজ এই অবস্থা নিজের বেলার ১৬ আনা অন্যের বেলায় দোষ 😠,anger,4
তগুলা মানুষের যদি প্রতিদিনে ৫+ ঘন্টার মত প্রোডাক্টিভ সময় চলে যায় ট্রাফিক জ্যামে বসে থেকে দুর্বিষহ হয়ে উঠতেসে ঢাকার রাস্তা প্রতিদিন একটু একটু করে আরো বেশি,disgust,3
দায়িত্বে অবহেলা ডাক্তারদের শাস্তি মূলক ব্যবস্থা গ্রহণ করুন এরকম ছোট মন নিয়ে ডাক্তারি পেশায় আসা উচিত হয়নি,disgust,3
ডেংগু রোগের বিরুদ্ধে সিটি কর্পোরেশন একা সম্পূর্ণ ব্যর্থ দিন কয়েক আগে স্বয়ং হাইকোর্ট আক্ষেপ করে বলেছিল যে কোন দেশের আদালত মশা নিধনে ব্যবস্থা গ্রহণ করতে নির্দেশ দেয় না কিন্তু বাংলাদেশে দিতে হয় এরচেয়ে হতাশাজনক আর কি হতে পারে,disgust,3
ভাই মন্ত্রীদের জুতা মারা উচিত আমি আপনার সাথে সহমতআমি করোনা জীবানু ঠেকাতে ঝাঠা বারুন খনতা নিয়েছি মন্ত্রীদের গালে মারব বলে,anger,4
ইসরায়েলি বাহিনীর বিমান হামলায় রক্তাক্ত হলো ফিলিস্তিনের গাজা উপত্যকা গত মঙ্গলবার থেকে গতকাল বুধবার দফায় দফায় হামলা চালায় ইসরায়েল এতে অন্তত ২৪ ফিলিস্তিনি নিহত হয়েছেন এর জবাবে ফিলিস্তিন থেকে ইসলায়েলে রকেট হামলা চালানো হয়,sadness,1
হলে থাকতে অনেক কষ্ট হতো আমার রাতের পর থেকে কেমন জেনো অস্থির লাগা শুরু হতো এটা ভেবে যে বন্দি এখন আমি সেইদিন বিশাল একটা ব্যাগ নিয়ে হলে চলে যাইপ্রায় ১৫১৬ দিন টানা ছিলাম প্রথমবারের মতো অনেক কষ্ট লাগতো আম্মুর কথা ভেবে,sadness,1
আমার চোখমুখ দেখে সম্ভবত কিছু একটা আচ করলো সেভয়ে ভয়ে জিজ্ঞেস করলো কি হয়েছে স্যার আমি কাঁপা গলায় বললাম রাসেল ফাসির মঞ্চের দিকে তাকিয়ে দেখো ত কিছু দেখতে পাচ্ছো,fear,5
যারা এই রমজানে দ্বীনের সন্ধান পেয়েছেন তাঁদেরকে অভিনন্দন যারা এখনো চেষ্টা করছেন আল্লাহ আপনাদের চেষ্টার যথাযোগ্য সুফল দিক,joy,0
ভালবাসা সব সময় সাথে আছে🥰 থেমে থাকবেন না দয়া করে ভিডিও এর অপেক্ষায় থাকি 😍,joy,0
পুলিশ বলেছে হাতুড়ি দিয়ে মাথায় আঘাত করে মুন্নীকে আর দুই শিশুকে শ্বাসরোধ করে হত্যা করা হয়েছে,disgust,3
ভাই আপনার কথাগুলো খুব ভালো লাগে একদম ন্যাচারালসত্যি অনেক ভালো লাগলো ভাই আপনার আজকের ভিডিও তাই সাথে সাথে চ্যনেলটি সাবস্ক্রাইব করলাম আছি আপনার সাথে,joy,0
কিছুক্ষন আগে পুরা চিটাগং এ আমাদের তৌহিদি ভাইয়েরা বিরাট মিছিল বের করসেআমার খুব ইচ্ছা আল্লাহ হাশরের ময়দানে এই বদমায়েশ মোল্লাগুলার বিচার কিভাবে করে তা দেখার ,disgust,3
আমি বুঝিনা পাবলিক ওরে কিভাবে সহ্য করেওভার এক্টিং এর বাপনা জানে অভিনয় জানেজানে শুধু ওভার এক্টিংএত ওভার এক্টিং করে আর ওই বিরক্তিকর হাসিইমোশনাল সিনেও মনে হয় ও হাসছেঅভিনেতা একটু এক্টিং জানতে হয় ওর মধ্যে সেটাও নেইশাকিব খানের চেয়েও ওকে আমার বেশী বিরক্ত লাগে,disgust,3
এখনো ডেঙ্গু–আতঙ্কে আছি মশা কামড়ালেই ভয় পাই মশকনিধনে সিটি করপোরেশনের বিশেষ অভিযান চলার সময় এলাকায় ওষুধ ছিটাতে দেখেছি এরপর গত দুই সপ্তাহের বেশি সময় ওষুধ ছিটাতে দেখিনি,fear,5
আমি হাসিমুখে রুমে ঢুকে বলতে যেতেই আমার মুখের হাসিটা উধাও হয়ে গেলো হাত পা গুলো কেপে গলাটা শুকিয়ে আসলো মিথি ঝুকে পড়ে বেডে শুয়ে থাকা রোগীটার বুক চিড়ে রক্ত খাচ্ছে,fear,5
এরা ধরাকে সরা জ্ঞান করছিল তাই এদের পতন দেখে জাতি খুশি,joy,0
আলেকজান্ডার বাহিনী নিয়ে ইন্দু নদী দিয়ে আরো দক্ষিণে এগিয়ে গেলেন এবং অবশেষে ভারত মহাসাগরের দেখা পেলেন ভারতের শেষ মাথায় পৌঁছাতে না পারলেও মহাসাগর তো পেয়েছেন,joy,0
এটা ঠিক রাগ ও লাগে না এদের উপর করুণা হয় আসলেএতোটাই লাইফলেস 😏,disgust,3
একটা বিষয় বুঝতে পারিনা মেয়েরা যদি প্রতারিত হয় আর একটা নোট লিখে মারা যায় তবে ছেলেদের বারোটা বাজে কিন্তু একটা ছেলে যদি আত্মহত্যা করে তবে এর কেন বিচার হয়না,disgust,3
চুয়েটের চার বছরে যতজন ফ্রেন্ডলি শিক্ষক দেখসি তাদের মধ্যে আরাফাত স্যার অন্যতমতার বিরুদ্ধে এমন অভিযোগ আশ্চর্যজনক,surprise,2
এই ধরনের জাজদের আগে ট্রেনিং দিয়ে জাজদের প্রতিযোগিতা আয়োজন করে জাজ বাছাই করে এখানে আনতে হবে,anger,4
চুয়েটে এ ফ্ল্যাশ মব এর নামে যেটা হয় সেটা কি আদৌ তাই ফ্ল্যাশমব মানে হচ্ছে হঠাৎ করেই সব হবে  কিন্তু তা না শুধু শুধু মানুষ জড়ো করে নাচানাচি করে,anger,4
ভাইরে ভাই এটা কি রোস্টিং ভিডিও দেখলাম নাকি ফানি ভিডিও দেখলাম  হাসতে হাসতে পুরো শেষ ,joy,0
রশি দিয়ে ব্যানার লাগানো হয়েছে এটা এই অনুষ্ঠানের জন্য প্রচন্ড মানহানীর বিষয় এই অনুষ্ঠানের ব্যবস্থাপনায় যারা ছিলেন তাদেরকে জবাবদিহীতায় আনা উচিত,anger,4
এই কবিতাগুলোতে সে ভয়কেও একটু একটু করে ভাঙ্গার চেষ্টা করছি,fear,5
মৌসুমীর চরিত্রটাই এ রকম  সে যে রকম সবাই একই রকম মনে করছে  কি ধরণের প্রশ্ন হল এটা  এ ধরণের রুচিহীন মানুষ জাজ হিসেবে কিভাবে মনোনীত হয়,disgust,3
দেবী বিসর্জনের মাধ্যমে শারদীয় দুর্গাপূজা শেষ হচ্ছে আজ সামনে লক্ষ্মীপূজা এদিন বাড়িতে বাড়িতে তৈরি হবে নানা স্বাদের নাড়ু,joy,0
রণবীর সিং নিজের জন্য চমৎকার একটি উপহার কিনেছেন একটি গাড়ি শুধু গাড়ি বললে ভুল হবে এটা বিশ্বের প্রথম সুপার স্পোর্ট ইউটিলিটি যান বিলাসবহুল এই গাড়ির নাম ল্যাম্বারগিনি গাড়িটির দাম ৩ কোটি রুপি,surprise,2
চলচ্চিত্রের নন্দিত নায়ক ইলিয়াস কাঞ্চন ১৯৯৩ সাল থেকে নিরাপদ সড়ক আন্দোলন করে আসছেন ওই বছর ২২ অক্টোবর তাঁর একটি ছবির শুটিং দেখতে যাওয়ার পথে সড়ক দুর্ঘটনায় মারা যান স্ত্রী জাহানারা কাঞ্চন,sadness,1
চারিদিক বরফ আর বরফ এরই মাঝে ঘুমানোর থলেতে স্লিপিং ব্যাগ একে একে ২২ দিন কাটিয়ে দিলেন ৩০ বছরের এক ব্যক্তি আর এ সময়ে ঠান্ডা নিবারণে তাঁর সঙ্গী ছিল মোটা চাদর খাবার ছিল শুধু পিনাট বাটার আর আনারস,surprise,2
কি জানি আমার তো ভয় কমতেছে না অনেক ভয় লাগে,fear,5
Thor কে চর মারা উচিতএরকম ছবি কে করে ঢাকা না থাইলেন্ড আর আফগান শহর ম্যাশ আপ করে ফেলসেফালতু মুভি,disgust,3
হাসিমুখে যাদের বিয়ের রঙিন ছবি দেখছি সেই আলো ঝলমলে রঙিন ছবির পেছনে আছে আর্থিক টানাপোড়েন কিংবা পরিবারের হাজারো দ্বন্দ্বের যুদ্ধজয়ের গল্প  সে গল্প কয়জনই বা জানে ,sadness,1
সব  ঠিক  আসে  তালিবানরা  যে  নির্দোষী  মানুষ  নিষ্পাপ  মানুষ   কে  বোমা   দিয়ে  বা  গুলি  করে  মারতাসে  ঐটা  কি আল্লাহর  হুকুম  না  শয়তানের  কাজ ,disgust,3
করোনাভাইরাসের সংক্রমণে চীনের হুবেই প্রদেশে মহামারি দেখা দিয়েছে এই ভাইরাসে দেশটিতে এ পর্যন্ত ৪৯০ জন প্রাণ হারিয়েছে এ ছাড়া চীনে গত মঙ্গলবার পর্যন্ত আক্রান্ত হয়েছে ২৪ হাজার ৩২৪ জন,sadness,1
লোকটার জন্য খুব খারাপ লাগছেমানুষ কতোটা কষ্টে আছে😭😭😭,sadness,1
paraglaiding করলাম যেই পাইলটদের সাথে তাদের অফিসে বুকিং দিতে গিয়ে সেখানে এক বাংলাদেশি লোকের সাথে দেখা সে খুবই অবাক তিনটা মেয়ে একা একা কি করে,surprise,2
আমার স্মৃতি ফিরিয়ে দিতে আমি আজ কাদবো না সত্যি আর কখনো কাদবো না ভালো থেকো ,sadness,1
দূর সালা মুড টাই পুরা খারাপ করে দিল ভাবছিলাম এইবার হয়তো সত্য প্রকাশ হবে কিন্তু কই কি হল গুরে ফিরে আবারও সেই পুরান নাটক,sadness,1
আমার জন্মদিনে আমি আমার কথা বাদ দিয়া তোর কথা ভাবতেছি আর তুই বলিস গুটিবাজ বিশ্বাস করেন রাসেল ভাই দুনিয়ায় ভাল মানুষ এর দাম নাই,sadness,1
করোনা নিজেও কনফিউজতারা মনে হয় নিজেদের মধ্যে বলতাছেএ কেমন দেশে আসলাম বাবাকোন দামই দিচ্ছে না বাল,disgust,3
ভারতের গুজরাটের ফ্যাশন ডিজাইনার আসিফ শেখের নকশা পাখির ঐকতানে পর্দা নেমেছে ট্রেসেমে বাংলাদেশ ফ্যাশন উইক ২০২০এর গতকাল শনিবার রাতে সূচিকর্মের চূড়ান্ত মুনশিয়ানা দেখিয়েছেন এই তরুণ ডিজাইনার,joy,0
জানতে পারছি না সে মুহুর্তে আগুনের কি অবস্থা একবার পাশের ছাদের মইয়ের দিকে তাকাচ্ছি আরেকবার নিজেদের মধ্যে দৃষ্টি বদল করছি,fear,5
তোমার মত আমিও এইরকম একটা স্ট্যাটাস দিব ভাবছিলাম কিন্তু সাহস পাইনাই,fear,5
হাসতে হাসতে খাট থেকে পরে গেলাম তাসিন ভাই রোস্ট এর রাজা আপনি স্যালুট ইউটুব পুলিশ,joy,0
অবাক হলো সে পুতুল আবার কথাও বলতে পারে নাকি কই সজীব তো এটা আগে শোনেনি ,surprise,2
একদম ঠিক আছে মাদারচুদেরে রড গরম কইরা ঠান্ডা অংশ টা বিতরে দিয়ে গরম টা বাহিরে রাখা উচিত কেউ জেনো খুলতে না পারে৷,anger,4
টানা দুই দিন বড় দরপতনের পর আজ টেনে তোলা হলো শেয়ারবাজার আজ বুধবার সপ্তাহের চতুর্থ কার্যদিবস লেনদেন শেষে দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জের ডিএসই প্রধান সূচক ডিএসইএক্স বেড়েছে ৩১ পয়েন্ট অবস্থান ৪ হাজার ৬৮ পয়েন্টে লেনদেনের শুরুতে প্রথম আধা ঘণ্টায় সূচকটি ৮৩ পয়েন্ট পর্যন্ত বেড়েছিল,joy,0
একদিকে রাস্তায় জন চলাচল নিয়ন্ত্রণ করছে আইনশৃঙ্খলা বাহিনী অপরদিকে গার্মেন্টস কলকারখানা খোলা কি হাস্যকর ব্যবস্হাপনা,disgust,3
বেলা আনুমানিক সাড়ে ১১টার দিকে ভোলা সদর হাই স্কুল সংলগ্ন এলাকায় জনৈক মিজানুর রহমানের বড় ছেলে শামীম আজম এলাকাবাসীর দারা গণধোলাইয়ের শিকার হয়েছেন,sadness,1
আমি বাধা দিয়ে বললাম তারমানে আপনারা এখনো লেটারটা পাঠান নি তাহলে এ লেটারটা বলেই কাধে রাখা সাইডব্যাগে হাত দিলাম কিন্তু অবাক কান্ড লেটারটা নেই সেখানে,surprise,2
বইমেলা আসলেই এমন এমন সব লোকের বই বের হতে দেখি পাঠক হিসাবে নিজেরই লজ্জা লাগেসেদিন কোথায় যেন একটা লেখায় পড়েছিলাম আগে মানুষ বই লিখে বিখ্যাত হতো এখন বিভিন্ন তথাকথিত ফেসবুক সেলিব্রেটিরা বই লিখেতাঁর বইয়ের ‍নাম হলো বাঙলার জয় বাঙলার ব্যর্থতামেলায় যারা যাবেন তাদেঁর প্রতি বিনীত অনুরোধ চলতি পথে তাঁর সাথে দেখা হলে অবশ্যই এক কপি বই কিনবেনতাঁরা জিতলেই জিতে যাবে বাংলাদেশ,sadness,1
৩  নং   আমি  লাস্ট  ২ ২  তে  গেসি  ওই  যে  একবার  শাসকষ্ট  উঠে  সিমসি  যাওয়া  লাগলো  ঐটার  পর  র  যাই  নাই ,sadness,1
কোন মুভির নাম জানোস না আবার কথা কস অল ভিডিও বানাস বলদ কোথাকার,disgust,3
মন্ত্রী মশাইয়ের বক্তব্য খুবই দুখজনক কিভাবে একজন মন্ত্রী পিপিই নামক একটি স্বাস্হ্য বিষয়ক সরঞ্জামকে পিপিপি বলে বারংবার উললেখ করেন,sadness,1
মুজিব বর্ষে ব্যক্তি ও প্রাতিষ্ঠানিক পর্যায়ে নানা ধরনের অভিনব কর্মসূচি নেওয়া হয়েছে বলা হচ্ছে সমাজ ও রাষ্ট্রের বৃহত্তর কল্যাণে গুরুত্বপূর্ণ ভূমিকা রাখাই এসব কর্মসূচির মূল লক্ষ্য ,joy,0
ফলে অতিরিক্ত অর্থধারীই ভোগ করতে পারবে অর্থনীতিতে মুদ্রাস্ফীতি দেখা দিবে একপর্যায়ে সেখান থেকেই দুর্ভিক্ষ শুরু হতে পারে,fear,5
শ্লার প্রথম আলো একটা পত্রিকা মাইরি মাঝে মাঝে মনে হয় কিশোর বয়সের ভীষণ প্রিয় লেখকগল্পকার অদেখা সেই স্যার রসময় গুপ্ত বুঝি আজকের এই মতিউর রহমান,disgust,3
সত্য মানুষ হও বাবা এই দোয়া মহান প্রভুর দরবারে,joy,0
বান্দরবানের লামা উপজেলায় পুকুরে ভাসমান অবস্থায় তিন বছর বয়সী একটি মৃত হস্তীশাবক পাওয়া গেছেউপজেলার ইয়াংছা এলাকায় আজ সোমবার সেলিম চৌধুরীর রাবার বাগানের পুকুরে মৃত হস্তীশাবকটি পাওয়া যায়,sadness,1
বর্তমানে ইন্দু নদী পাকিস্তানের তারবেলা বাঁধে আটকে থাকা ছোট্ট নদীতে পরিবর্তন হলেও আলেকজান্ডারের সময়ে এই নদী ছিল পৃথিবীর অন্যতম বিপদশঙ্কুল নদীপথ,fear,5
ওরে পাকিস্তানের রাজাকারের সাথে হাইরা ওরা ঘরে ফিরছে কে কোথায় আছিস রে ১৯ দলের প্লেয়ারদের জুতার বাড়ি খাওয়া,anger,4
মানুষ হারিয়ে গেলে খুঁজে পাওয়া যায় কিন্তু বদলে গেলে আর ফিরে পাওয়া যায় না,sadness,1
একটা ছেলের অনেকগুলো বান্ধবী থাকতে পারে কিন্তু একটা মেয়ের কোনো ছেলে বন্ধু থাকাটা সহজ হতে পারে না,disgust,3
শুনে রাখুন সাহিত্যের ইতিহাসে এর চেয়ে বড় জোচ্চুরি বড় বেইনসাফি কোনো দিন হয়নি,anger,4
সুমি এই দৃশ্য দেখার জন্য মোটেই প্রস্তুত ছিল নাএকটা মাথা বাথরুমের মধ্যে ফেলা আর পা থেকে গলা পযর্ন্ত নেই চোখ দিয়ে রক্ত পড়ছেসে জ্ঞান হারায়,surprise,2
সাতরাস্তার মোড়ের টঙ আর বটতলার মানুষগুলোকে অনেক মিস করতেছি যার সাথে দাবারকোটে শুধু দেখা হয় কিন্তু কোনোদিনও কথা হয়নি তার কথাও মনে পড়তেছে,sadness,1
আগে কোনো সমস্যা হইলে আব্বুকে ডিরেক্ট কল দিয়ে দিতাম আব্বু সমস্যা সমাধান করে দিত এখন সমস্যা গুলোকেই ইগ্নোর করি,sadness,1
আমার কথা শুনলে রাত্রে বাহিরে যাওয়া দূরের কথা ঘরের টয়লেট ব্যবহার করতেও ভয় পাবেন,fear,5
নিজের বোন সোনায় সোহাগা আর অন্যের বইন ডাস্টবিনের ময়লাযাইতাম যে কই,disgust,3
